Date,Price,Open,High,Low,Volume,Change percentage
"Nov 04, 2022",138.38,142.09,142.67,134.38,140.82M,-0.36%
"Nov 03, 2022",138.88,142.06,142.8,138.75,96.75M,-4.24%
"Nov 02, 2022",145.03,148.95,152.17,145,92.91M,-3.73%
"Nov 01, 2022",150.65,155.08,155.45,149.13,80.38M,-1.75%
"Oct 31, 2022",153.34,153.16,154.24,151.92,97.94M,-1.54%
"Oct 28, 2022",155.74,148.2,157.5,147.82,164.76M,7.56%
"Oct 27, 2022",144.8,148.07,149.05,144.13,109.18M,-3.05%
"Oct 26, 2022",149.35,150.96,151.99,148.04,88.44M,-1.96%
"Oct 25, 2022",152.34,150.09,152.49,149.36,74.73M,1.93%
"Oct 24, 2022",149.45,147.19,150.23,146,75.98M,1.48%
"Oct 21, 2022",147.27,142.87,147.85,142.65,86.55M,2.71%
"Oct 20, 2022",143.39,143.02,145.89,142.65,64.52M,-0.33%
"Oct 19, 2022",143.86,141.69,144.95,141.5,61.76M,0.08%
"Oct 18, 2022",143.75,145.49,146.7,140.61,99.14M,0.94%
"Oct 17, 2022",142.41,141.06,142.9,140.27,85.25M,2.91%
"Oct 14, 2022",138.38,144.31,144.52,138.19,88.60M,-3.22%
"Oct 13, 2022",142.99,134.99,143.59,134.37,113.22M,3.36%
"Oct 12, 2022",138.34,139.13,140.36,138.16,70.43M,-0.46%
"Oct 11, 2022",138.98,139.9,141.35,138.22,77.03M,-1.03%
"Oct 10, 2022",140.42,140.42,141.89,138.57,74.90M,0.24%
"Oct 07, 2022",140.09,142.54,143.1,139.44,85.93M,-3.67%
"Oct 06, 2022",145.43,145.81,147.54,145.22,68.40M,-0.66%
"Oct 05, 2022",146.4,144.07,147.38,143.01,79.47M,0.21%
"Oct 04, 2022",146.1,145.03,146.22,144.26,87.83M,2.56%
"Oct 03, 2022",142.45,138.21,143.07,137.69,114.31M,3.08%
"Sep 30, 2022",138.2,141.28,143.1,138,124.93M,-3.00%
"Sep 29, 2022",142.48,146.1,146.72,140.68,128.14M,-4.91%
"Sep 28, 2022",149.84,147.64,150.64,144.84,146.69M,-1.27%
"Sep 27, 2022",151.76,152.74,154.72,149.94,84.44M,0.66%
"Sep 26, 2022",150.77,149.66,153.77,149.64,93.34M,0.23%
"Sep 23, 2022",150.43,151.19,151.47,148.56,96.03M,-1.51%
"Sep 22, 2022",152.74,152.38,154.47,150.91,86.65M,-0.64%
"Sep 21, 2022",153.72,157.34,158.74,153.6,101.70M,-2.03%
"Sep 20, 2022",156.9,153.4,158.08,153.08,107.69M,1.57%
"Sep 19, 2022",154.48,149.31,154.56,149.1,81.47M,2.51%
"Sep 16, 2022",150.7,151.21,151.35,148.37,162.28M,-1.10%
"Sep 15, 2022",152.37,154.65,155.24,151.38,90.48M,-1.89%
"Sep 14, 2022",155.31,154.78,157.1,153.61,87.97M,0.96%
"Sep 13, 2022",153.84,159.9,160.54,153.37,122.66M,-5.87%
"Sep 12, 2022",163.43,159.59,164.26,159.3,104.96M,3.85%
"Sep 09, 2022",157.37,155.47,157.82,154.75,68.08M,1.88%
"Sep 08, 2022",154.46,154.64,156.36,152.68,84.92M,-0.96%
"Sep 07, 2022",155.96,154.82,156.67,153.61,87.45M,0.93%
"Sep 06, 2022",154.53,156.47,157.09,153.69,73.71M,-0.82%
"Sep 02, 2022",155.81,159.75,160.36,154.97,76.96M,-1.36%
"Sep 01, 2022",157.96,156.64,158.42,154.67,74.23M,0.47%
"Aug 31, 2022",157.22,160.31,160.58,157.14,87.99M,-1.06%
"Aug 30, 2022",158.91,162.13,162.56,157.72,77.91M,-1.53%
"Aug 29, 2022",161.38,161.15,162.9,159.82,73.31M,-1.37%
"Aug 26, 2022",163.62,170.57,171.05,163.56,78.96M,-3.77%
"Aug 25, 2022",170.03,168.78,170.14,168.35,51.22M,1.49%
"Aug 24, 2022",167.53,167.32,168.11,166.25,53.84M,0.18%
"Aug 23, 2022",167.23,167.08,168.71,166.65,54.15M,-0.20%
"Aug 22, 2022",167.57,169.69,169.86,167.13,69.03M,-2.30%
"Aug 19, 2022",171.52,173.03,173.74,171.31,70.35M,-1.51%
"Aug 18, 2022",174.15,173.75,174.9,173.12,62.29M,-0.23%
"Aug 17, 2022",174.55,172.77,176.15,172.57,79.54M,0.88%
"Aug 16, 2022",173.03,172.78,173.71,171.66,56.38M,-0.09%
"Aug 15, 2022",173.19,171.52,173.39,171.34,54.09M,0.63%
"Aug 12, 2022",172.1,169.82,172.17,169.4,68.04M,2.14%
"Aug 11, 2022",168.49,170.06,170.99,168.19,57.15M,-0.44%
"Aug 10, 2022",169.24,167.68,169.34,166.9,70.17M,2.62%
"Aug 09, 2022",164.92,164.02,165.82,163.25,63.14M,0.03%
"Aug 08, 2022",164.87,166.37,167.81,164.2,60.36M,-0.29%
"Aug 05, 2022",165.35,163.21,165.85,163,56.70M,-0.28%
"Aug 04, 2022",165.81,166,167.19,164.43,55.47M,-0.19%
"Aug 03, 2022",166.13,160.84,166.59,160.75,82.51M,3.82%
"Aug 02, 2022",160.01,160.1,162.41,159.63,59.91M,-0.93%
"Aug 01, 2022",161.51,161.01,163.59,160.89,67.83M,-0.62%
"Jul 29, 2022",162.51,161.24,163.63,159.5,101.79M,3.28%
"Jul 28, 2022",157.35,156.98,157.64,154.41,81.38M,0.36%
"Jul 27, 2022",156.79,152.58,157.33,152.16,78.62M,3.42%
"Jul 26, 2022",151.6,152.26,153.09,150.8,55.14M,-0.88%
"Jul 25, 2022",152.95,154.01,155.04,152.28,53.62M,-0.74%
"Jul 22, 2022",154.09,155.39,156.28,153.41,66.68M,-0.81%
"Jul 21, 2022",155.35,154.7,155.57,151.96,64.31M,1.51%
"Jul 20, 2022",153.04,151.17,153.69,150.39,64.46M,1.35%
"Jul 19, 2022",151,147.98,151.2,146.92,82.15M,2.67%
"Jul 18, 2022",147.07,150.84,151.54,146.74,77.54M,-2.06%
"Jul 15, 2022",150.17,149.78,150.86,148.2,76.26M,1.15%
"Jul 14, 2022",148.47,144.08,148.95,143.25,78.14M,2.05%
"Jul 13, 2022",145.49,142.99,146.45,142.12,71.19M,-0.25%
"Jul 12, 2022",145.86,145.76,148.45,145.05,77.59M,0.68%
"Jul 11, 2022",144.87,145.67,146.64,143.78,63.31M,-1.48%
"Jul 08, 2022",147.04,145.26,147.55,145,64.30M,0.47%
"Jul 07, 2022",146.35,143.29,146.55,143.28,65.73M,2.40%
"Jul 06, 2022",142.92,141.35,144.12,141.08,73.55M,0.96%
"Jul 05, 2022",141.56,137.77,141.61,136.93,70.95M,1.89%
"Jul 01, 2022",138.93,136.04,139.04,135.66,71.05M,1.62%
"Jun 30, 2022",136.72,137.25,138.37,133.77,98.63M,-1.80%
"Jun 29, 2022",139.23,137.46,140.67,136.67,65.98M,1.30%
"Jun 28, 2022",137.44,142.13,143.42,137.32,66.75M,-2.98%
"Jun 27, 2022",141.66,142.7,143.49,140.96,70.21M,0.00%
"Jun 24, 2022",141.66,139.9,141.91,139.77,88.44M,2.45%
